"pounds_purchased","order_amount","farm_name","coordinates","lat","lon","order_date"
325,249.75,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-10-01
225,249.75,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-10-01
220,314.55,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-10-01
189,249.52,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-10-01
200,245.25,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-11-01
310,250.2,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-11-01
172,240.3,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-11-01
180,240.75,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-12-01
115,238.5,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-12-01
115,229.5,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2019-12-01
NA,5500,"Clean Greens","47.6022065,-122.3069972",47.6022065,-122.3069972,2019-05-01
145,5500,"Clean Greens","47.6022065,-122.3069972",47.6022065,-122.3069972,2019-05-01
150,5500,"Clean Greens","47.6022065,-122.3069972",47.6022065,-122.3069972,2019-05-01
200,5500,"Clean Greens","47.6022065,-122.3069972",47.6022065,-122.3069972,2019-05-01
420,5500,"Clean Greens","47.6022065,-122.3069972",47.6022065,-122.3069972,2019-05-01
170,5500,"Clean Greens","47.6022065,-122.3069972",47.6022065,-122.3069972,2019-05-01
210,5500,"Clean Greens","47.6022065,-122.3069972",47.6022065,-122.3069972,2019-05-01
200,5500,"Clean Greens","47.6022065,-122.3069972",47.6022065,-122.3069972,2019-05-01
250,5500,"Clean Greens","47.6022065,-122.3069972",47.6022065,-122.3069972,2019-05-01
200,5500,"Clean Greens","47.6022065,-122.3069972",47.6022065,-122.3069972,2019-05-01
150,5500,"Clean Greens","47.6022065,-122.3069972",47.6022065,-122.3069972,2019-05-01
83,5500,"Clean Greens","47.6022065,-122.3069972",47.6022065,-122.3069972,2019-05-01
181,5500,"Clean Greens","47.6022065,-122.3069972",47.6022065,-122.3069972,2019-05-01
240,5500,"Clean Greens","47.6022065,-122.3069972",47.6022065,-122.3069972,2019-05-01
NA,3000,"Farmstand Local Foods (distributor)","47.551801,-122.3945658",47.551801,-122.3945658,NA
35,NA,"Caruso Farm","47.8782821,-122.0526352",47.8782821,-122.0526352,NA
120,NA,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,NA
25,NA,"Skylight Farms","47.836134,-122.0852195",47.836134,-122.0852195,NA
12,NA,"High & Dry Farm","47.8877264,-121.7938542",47.8877264,-121.7938542,NA
96,NA,"Sound Vegetables","47.7107537,-122.1618372",47.7107537,-122.1618372,NA
50,NA,"Caruso Farm","47.8782821,-122.0526352",47.8782821,-122.0526352,NA
60,NA,"Lowlands Farm","47.8062607,-122.122593",47.8062607,-122.122593,NA
10,NA,"Skylight Farms","47.836134,-122.0852195",47.836134,-122.0852195,NA
60,NA,"Skylight Farms","47.836134,-122.0852195",47.836134,-122.0852195,NA
10,NA,"Skylight Farms","47.836134,-122.0852195",47.836134,-122.0852195,NA
80,NA,"Skylight Farms","47.836134,-122.0852195",47.836134,-122.0852195,NA
40,NA,"Skylight Farms","47.836134,-122.0852195",47.836134,-122.0852195,NA
50,NA,"Skylight Farms","47.836134,-122.0852195",47.836134,-122.0852195,NA
50,NA,"Steel Wheel Farm","47.5774188,-121.9111799",47.5774188,-121.9111799,NA
5,NA,"Flying Tomato Farm","47.5555656,-122.3209544",47.5555656,-122.3209544,NA
80,NA,"Lowlands Farm","47.8062607,-122.122593",47.8062607,-122.122593,NA
200,NA,"Orange Star Farm","47.8634311,-121.9435757",47.8634311,-121.9435757,NA
20,NA,"Orange Star Farm","47.8634311,-121.9435757",47.8634311,-121.9435757,NA
60,NA,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,NA
10,NA,"Regeneration Farm","47.7468366,-122.1555405",47.7468366,-122.1555405,NA
5,NA,"Skylight Farms","47.836134,-122.0852195",47.836134,-122.0852195,NA
